source_unit,depends_on_unit
SYSOP8,common3
SYSOP8,file0
SYSOP8,mail0
SYSOP9,Crt
SYSOP9,Dos
SYSOP9,common4
SYSOP9,common5
SYSOP9,common
SYSOP9,Conf
SYSOP9,common1
SYSOP9,common2
SYSOP9,common3
SYSOP9,file0
SYSOP9,file2
SYSOP9,records
SYSOP9,sysop8
TIMEBANK,common
TIMEBANK,sys
TIMEBANK,common2
TIMEBANK,common3
TIMEJUNK,dos
TIMESLIC,crt
TIMESLIC,dos
TIMETASK,dos
TMPCOM,Dos
TMPOLD,Dos
UCONFIG,Crt
UCONFIG,AnsiDrv
UCONFIG,Cuser
UCONFIG,Common
UCONFIG,Dos
UCONFIG,common1
UCONFIG,common2
UCONFIG,common3
UCONFIG,records
UCONFIG,common5
ULCHECK,Crt
ULCHECK,myio
ULCHECK,Dos
ULCHECK,common
ULCHECK,common1
ULCHECK,common2
ULCHECK,common3
ULCHECK,Common5
ULCHECK,ansidrv
ULCHECK,records
ULCHECK,cmd
ULCHECK,file1
WFCMENU,Crt
WFCMENU,Dos
WFCMENU,sysop3
WFCMENU,sysop7
WFCMENU,sysop8
WFCMENU,sysop9
WFCMENU,common5
WFCMENU,sysop11
WFCMENU,mail2
WFCMENU,mail4
WFCMENU,mail5
WFCMENU,mail6
WFCMENU,misc1
WFCMENU,misc2
WFCMENU,misc3
WFCMENU,misc5
WFCMENU,Common1
WFCMENU,Common2
WFCMENU,Common3
WFCMENU,Sysop2
WFCMENU,common4
WFCMENU,sysop1
WFCMENU,records
WFCMENU,conf
WFCMENU,cuser
WFCMENU,multinod
WFCMENU,tmpcom
WFCMENU,mmodem
WFCMENU,msgpack
WFCMENU,myio
WFCMENU,common
WFCMENU,newusers
WFCMENU,sys
ZIPVIEWU,Dos
ZIPVIEWU,Crt
ZIPVIEWU,Common
ZIPVIEWU,Common5
ZIPVIEWU,common2
ZIPVIEWU,sys
